sampleTime,name,value
2009/1/21,Calcium,44.7
2009/3/17,Calcium,54
2009/4/23,Calcium,48.9
2009/5/17,Calcium,74.5
2009/6/20,Calcium,45.6
2009/7/19,Calcium,48.1
2009/8/17,Calcium,53.6
2009/9/18,Calcium,39.5
2009/11/20,Calcium,54.8
2009/12/12,Calcium,54.2
2010/1/17,Calcium,54.98
2010/2/19,Calcium,76.15
2010/3/18,Calcium,47.97
2010/4/17,Calcium,33.5
2010/5/19,Calcium,43.9
2010/6/17,Calcium,48.45
2010/7/16,Calcium,58.9
2010/8/21,Calcium,50
2010/9/16,Calcium,68.3
2010/10/19,Calcium,69.1
2010/11/18,Calcium,66.5
2010/12/16,Calcium,66.6
2011/1/21,Calcium,21.4
2011/2/19,Calcium,60.9
2011/3/17,Calcium,50
2011/4/15,Calcium,50.8
2011/5/20,Calcium,49.2
2011/6/17,Calcium,53.9
2011/7/20,Calcium,54.5
2011/8/18,Calcium,51.9
2011/9/15,Calcium,44.2
2011/10/13,Calcium,67.5
2011/11/18,Calcium,50
2011/12/17,Calcium,53.2
2012/1/20,Calcium,49.7
2012/2/17,Calcium,48.43
2012/3/16,Calcium,60.02
2012/4/19,Calcium,39.631
2012/5/19,Calcium,39.82
2012/6/17,Calcium,59.63
2012/7/20,Calcium,43.35
2012/8/17,Calcium,73.36
2012/9/20,Calcium,54.42
2012/10/19,Calcium,40.36
2012/11/18,Calcium,45.69
2012/12/15,Calcium,42.85
2013/1/20,Calcium,57.14
2013/2/17,Calcium,63.76
2013/3/17,Calcium,49.05
2013/4/18,Calcium,46.6
2013/5/18,Calcium,65.41
2013/6/17,Calcium,64.5
2013/7/18,Calcium,53.17
2013/8/18,Calcium,53.96
2013/9/19,Calcium,56.5
2013/10/19,Calcium,66.27
2013/11/21,Calcium,69.62
2013/12/13,Calcium,53.18
2014/2/16,Calcium,52.32
2014/4/19,Calcium,43.34
2014/6/21,Calcium,56.18
2014/9/20,Calcium,64.41
2014/10/18,Calcium,96.79
2014/11/20,Calcium,74.77
2015/1/17,Calcium,73.29
2015/2/14,Calcium,57.8
2015/3/21,Calcium,69.35
2015/4/18,Calcium,37.98
2015/5/22,Calcium,40.9
2015/6/18,Calcium,52.46
2015/7/18,Calcium,46.8
2015/8/20,Calcium,61.7
2015/9/19,Calcium,34.7
2015/10/17,Calcium,47.33
2015/11/20,Calcium,63.77
2015/12/17,Calcium,77.67
2016/1/21,Calcium,54.19
2016/2/18,Calcium,34.78
2016/4/15,Calcium,51.78
2016/5/19,Calcium,51.94
2016/6/19,Calcium,47.8
2016/7/17,Calcium,42.11
2016/8/19,Calcium,43.75
2016/10/14,Calcium,36.8
2016/11/20,Calcium,51.98
2016/12/16,Calcium,55.55
2014/1/18,Potassium,3.807
2014/2/16,Potassium,3.618
2014/3/20,Potassium,3.29
2014/4/19,Potassium,2.814
2014/5/15,Potassium,3.28
2014/6/21,Potassium,3.98
2014/9/20,Potassium,2.57
2014/10/18,Potassium,6.17
2014/11/20,Potassium,4.48
2015/1/17,Potassium,5.56
2015/2/14,Potassium,5.75
2015/5/22,Potassium,4.98
2015/6/18,Potassium,4.63
2015/9/19,Potassium,7.37
2015/10/17,Potassium,4.15
2015/11/20,Potassium,3.56
2015/12/17,Potassium,4.42
2016/1/21,Potassium,3.16
2016/2/18,Potassium,12.16
2016/3/18,Potassium,3.73
2016/4/15,Potassium,20.79
2016/5/19,Potassium,9.83
2016/6/19,Potassium,7.55
2016/7/17,Potassium,5.34
2016/7/24,Potassium,3.09
2016/8/19,Potassium,3.3
2016/9/17,Potassium,2.82
2016/10/14,Potassium,2.81
2016/11/20,Potassium,4.32
2016/12/16,Potassium,5.46
2009/1/21,Sodium,15.4
2009/3/17,Sodium,28.5
2009/4/23,Sodium,45.5
2009/5/17,Sodium,43.9
2009/6/20,Sodium,77
2009/7/19,Sodium,35
2009/8/17,Sodium,8
2009/9/18,Sodium,34
2009/11/20,Sodium,29.4
2009/12/12,Sodium,41.4
2014/1/18,Sodium,60.91
2014/2/16,Sodium,61.66
2014/3/20,Sodium,28.01
2014/4/19,Sodium,20.92
2014/5/15,Sodium,28.08
2014/6/21,Sodium,22.87
2014/9/20,Sodium,21.37
2014/10/18,Sodium,55.3
2014/11/20,Sodium,80.7
2015/1/17,Sodium,58.077
2015/2/14,Sodium,51.44
2015/5/22,Sodium,62.7
2015/6/18,Sodium,31.01
2015/9/19,Sodium,68.88
2015/10/17,Sodium,64.42
2015/11/20,Sodium,41.15
2015/12/17,Sodium,64.83
2016/1/21,Sodium,25.95
2016/2/18,Sodium,36.56
2016/3/18,Sodium,34.57
2016/4/15,Sodium,74.12
2016/5/19,Sodium,60.84
2016/6/19,Sodium,46.79
2016/7/17,Sodium,37.44
2016/7/24,Sodium,33.24
2016/8/19,Sodium,55.91
2016/9/17,Sodium,40.46
2016/10/14,Sodium,25.95
2016/11/20,Sodium,62.37
2016/12/16,Sodium,32.6
